PLZ,Bundesland,Kreis,Ort,Kreisschlüssel,Typ
1067,Sachsen,Dresden,Dresden,14612,Stadt
1069,Sachsen,Dresden,Dresden,14612,Stadt
1097,Sachsen,Dresden,Dresden,14612,Stadt
1099,Sachsen,Dresden,Dresden,14612,Stadt
1108,Sachsen,Dresden,Dresden,14612,Stadt
1109,Sachsen,Dresden,Dresden,14612,Stadt
1127,Sachsen,Dresden,Dresden,14612,Stadt
1129,Sachsen,Dresden,Dresden,14612,Stadt
1139,Sachsen,Dresden,Dresden,14612,Stadt
1156,Sachsen,Dresden,Dresden,14612,Stadt
1157,Sachsen,Dresden,Dresden,14612,Stadt
1159,Sachsen,Dresden,Dresden,14612,Stadt
1169,Sachsen,Dresden,Dresden,14612,Stadt
1187,Sachsen,Dresden,Dresden,14612,Stadt
1189,Sachsen,Dresden,Dresden,14612,Stadt
1217,Sachsen,Dresden,Dresden,14612,Stadt
1219,Sachsen,Dresden,Dresden,14612,Stadt
1237,Sachsen,Dresden,Dresden,14612,Stadt
1239,Sachsen,Dresden,Dresden,14612,Stadt
1257,Sachsen,Dresden,Dresden,14612,Stadt
1259,Sachsen,Dresden,Dresden,14612,Stadt
1277,Sachsen,Dresden,Dresden,14612,Stadt
1279,Sachsen,Dresden,Dresden,14612,Stadt
1307,Sachsen,Dresden,Dresden,14612,Stadt
1309,Sachsen,Dresden,Dresden,14612,Stadt
1324,Sachsen,Dresden,Dresden,14612,Stadt
1326,Sachsen,Dresden,Dresden,14612,Stadt
1328,Sachsen,Dresden,Dresden,14612,Stadt
1445,Sachsen,Meißen,Meißen,14627,Kreis
1454,Sachsen,Bautzen,Bautzen,14625,Kreis
1458,Sachsen,Bautzen,Bautzen,14625,Kreis
1465,Sachsen,Dresden,Dresden,14612,Stadt
1468,Sachsen,Meißen,Meißen,14627,Kreis
1471,Sachsen,Meißen,Meißen,14627,Kreis
1477,Sachsen,Bautzen,Bautzen,14625,Kreis
1558,Sachsen,Meißen,Meißen,14627,Kreis
1561,Sachsen,Meißen,Meißen,14627,Kreis
1587,Sachsen,Meißen,Meißen,14627,Kreis
1589,Sachsen,Meißen,Meißen,14627,Kreis
1591,Sachsen,Meißen,Meißen,14627,Kreis
1594,Sachsen,Meißen,Meißen,14627,Kreis
1609,Sachsen,Meißen,Meißen,14627,Kreis
1612,Sachsen,Meißen,Meißen,14627,Kreis
1616,Sachsen,Meißen,Meißen,14627,Kreis
1619,Sachsen,Meißen,Meißen,14627,Kreis
1623,Sachsen,Meißen,Meißen,14627,Kreis
1640,Sachsen,Meißen,Meißen,14627,Kreis
1662,Sachsen,Meißen,Meißen,14627,Kreis
1665,Sachsen,Meißen,Meißen,14627,Kreis
1683,Sachsen,Meißen,Meißen,14627,Kreis
1689,Sachsen,Meißen,Meißen,14627,Kreis
1705,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1723,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1728,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1731,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1734,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1737,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1738,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1744,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1762,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1768,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1773,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1774,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1776,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1778,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1796,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1809,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1814,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1816,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1819,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1824,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1825,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1829,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1833,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1844,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1847,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1848,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1855,Sachsen,Sächsische Schweiz-Osterzgebirge,Sächsische Schweiz-Osterzgebirge,14628,Kreis
1877,Sachsen,Bautzen,Bautzen,14625,Kreis
1896,Sachsen,Bautzen,Bautzen,14625,Kreis
1900,Sachsen,Bautzen,Bautzen,14625,Kreis
1904,Sachsen,Bautzen,Bautzen,14625,Kreis
1906,Sachsen,Bautzen,Bautzen,14625,Kreis
1909,Sachsen,Bautzen,Bautzen,14625,Kreis
1917,Sachsen,Bautzen,Bautzen,14625,Kreis
1920,Sachsen,Bautzen,Bautzen,14625,Kreis
1936,Sachsen,Bautzen,Bautzen,14625,Kreis
1945,Brandenburg,Oberspreewald-Lausitz,Oberspreewald-Lausitz,12066,Kreis
1968,Brandenburg,Oberspreewald-Lausitz,Oberspreewald-Lausitz,12066,Kreis
1979,Brandenburg,Oberspreewald-Lausitz,Oberspreewald-Lausitz,12066,Kreis
1983,Brandenburg,Oberspreewald-Lausitz,Oberspreewald-Lausitz,12066,Kreis
1987,Brandenburg,Oberspreewald-Lausitz,Oberspreewald-Lausitz,12066,Kreis
